Analysis Type	NCBI BioProject ID (Strain 1)	Strain 1	GI (Strain 1)	Locus Tag (Strain 1)	NCBI RefSeq Accession (Strain 1)	Description (Strain 1)	NCBI BioProject ID (Strain 2)	Strain 2	GI (Strain 2)	Locus Tag (Strain 2)	NCBI RefSeq Accession (Strain 2)	Description (Strain 2)	Inparalogs	Strain 1 Inparalogs (Locus Tag/Name)	Strain 2 Inparalogs (Locus Tag/Name)	Ortholuge Class
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053721	PA14_00010	WP_003109151.1	chromosomal replication initiation protein	59275	Pseudomonas aeruginosa LESB58	218888747	PLES_00001	WP_003109151.1	chromosomal replication initiation protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053722	PA14_00020	WP_003097262.1	DNA polymerase III subunit beta	59275	Pseudomonas aeruginosa LESB58	218888748	PLES_00011	WP_003097262.1	DNA polymerase III subunit beta				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053723	PA14_00030	WP_003097265.1	recombination protein F	59275	Pseudomonas aeruginosa LESB58	218888749	PLES_00021	WP_003118474.1	recombination protein F				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053724	PA14_00050	WP_003097268.1	DNA gyrase subunit B	59275	Pseudomonas aeruginosa LESB58	218888750	PLES_00031	WP_003097268.1	DNA gyrase subunit B				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053725	PA14_00060	WP_003100265.1	putative acyltransferase	59275	Pseudomonas aeruginosa LESB58	218888751	PLES_00041	WP_012613418.1	lysophosphatidic acid acyltransferase, LptA				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053726	PA14_00070	WP_003142196.1	D,D-heptose 1,7-bisphosphate phosphatase	59275	Pseudomonas aeruginosa LESB58	218888752	PLES_00051	WP_003120688.1	D,D-heptose 1,7-bisphosphate phosphatase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053727	PA14_00080	WP_003142198.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888753	PLES_00061	WP_003114647.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053728	PA14_00090	WP_003100271.1	glycyl-tRNA synthetase subunit beta	59275	Pseudomonas aeruginosa LESB58	218888754	PLES_00071	WP_003120686.1	glycyl-tRNA synthetase subunit beta				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053729	PA14_00100	WP_003097276.1	glycyl-tRNA synthetase subunit alpha	59275	Pseudomonas aeruginosa LESB58	218888755	PLES_00081	WP_003097276.1	glycyl-tRNA synthetase subunit alpha				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053730	PA14_00110	WP_003097280.1	DNA-3-methyladenine glycosidase I	59275	Pseudomonas aeruginosa LESB58	218888756	PLES_00091	WP_003097280.1	DNA-3-methyladenine glycosidase I				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053731	PA14_00120	WP_003097282.1	lipid A biosynthesis lauroyl acyltransferase	59275	Pseudomonas aeruginosa LESB58	218888757	PLES_00101	WP_003097282.1	lipid A biosynthesis lauroyl acyltransferase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053732	PA14_00130	WP_003114645.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888758	PLES_00111	WP_003114645.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053733	PA14_00140	WP_003142200.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888759	PLES_00121	WP_003097286.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053734	PA14_00150	WP_003142201.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888760	PLES_00131	WP_003107049.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053735	PA14_00160	WP_031632885.1	TPR repeat-containing protein	59275	Pseudomonas aeruginosa LESB58	218888761	PLES_00141	WP_003107051.1	putative tetratricopeptide repeat domain				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053736	PA14_00170	WP_003111375.1	potassium transporter peripheral membrane component	59275	Pseudomonas aeruginosa LESB58	218888762	PLES_00151	WP_003107053.1	potassium transporter peripheral membrane component				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053737	PA14_00180	WP_003142203.1	putative tRNA and rRNA cytosine-C5-methylases	59275	Pseudomonas aeruginosa LESB58	218888763	PLES_00161	WP_003161949.1	putative tRNA and rRNA cytosine-C5-methylases				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053738	PA14_00190	WP_003142204.1	methionyl-tRNA formyltransferase	59275	Pseudomonas aeruginosa LESB58	218888764	PLES_00171	WP_003107057.1	methionyl-tRNA formyltransferase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053739	PA14_00200	WP_003097293.1	peptide deformylase	59275	Pseudomonas aeruginosa LESB58	218888765	PLES_00181	WP_003107059.1	peptide deformylase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053740	PA14_00210	WP_003097294.1	lysin domain-containing protein	59275	Pseudomonas aeruginosa LESB58	218888766	PLES_00191	WP_003097294.1	putative lysin domain				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053741	PA14_00230	WP_003142205.1	putative Rossmann fold nucleotide-binding protein	59275	Pseudomonas aeruginosa LESB58	218888767	PLES_00201	WP_012613419.1	putative Rossmann fold nucleotide-binding protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053742	PA14_00240	WP_003097300.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888768	PLES_00211	WP_003097300.1	putative translation factor				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116053743	PA14_00250	WP_003097303.1	quinone oxidoreductase	59275	Pseudomonas aeruginosa LESB58	218888769	PLES_00221	WP_012613420.1	quinone oxidoreductase				
