Analysis Type	NCBI BioProject ID (Strain 1)	Strain 1	GI (Strain 1)	Locus Tag (Strain 1)	NCBI RefSeq Accession (Strain 1)	Description (Strain 1)	NCBI BioProject ID (Strain 2)	Strain 2	GI (Strain 2)	Locus Tag (Strain 2)	NCBI RefSeq Accession (Strain 2)	Description (Strain 2)	Inparalogs	Strain 1 Inparalogs (Locus Tag/Name)	Strain 2 Inparalogs (Locus Tag/Name)	Ortholuge Class
rbb	57945	Pseudomonas aeruginosa PAO1	15595199	PA0001	NP_064721.1	chromosomal replication initiation protein	59275	Pseudomonas aeruginosa LESB58	218888747	PLES_00001	WP_003109151.1	chromosomal replication initiation protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595200	PA0002	NP_064722.1	DNA polymerase III subunit beta	59275	Pseudomonas aeruginosa LESB58	218888748	PLES_00011	WP_003097262.1	DNA polymerase III subunit beta				
rbb	57945	Pseudomonas aeruginosa PAO1	15595201	PA0003	NP_064723.1	recombination protein F	59275	Pseudomonas aeruginosa LESB58	218888749	PLES_00021	WP_003118474.1	recombination protein F				
rbb	57945	Pseudomonas aeruginosa PAO1	15595202	PA0004	NP_064724.1	DNA gyrase subunit B	59275	Pseudomonas aeruginosa LESB58	218888750	PLES_00031	WP_003097268.1	DNA gyrase subunit B				
rbb	57945	Pseudomonas aeruginosa PAO1	15595203	PA0005	NP_064725.1	lysophosphatidic acid acyltransferase, LptA	59275	Pseudomonas aeruginosa LESB58	218888751	PLES_00041	WP_012613418.1	lysophosphatidic acid acyltransferase, LptA				
rbb	57945	Pseudomonas aeruginosa PAO1	15595204	PA0006	NP_064726.1	D,D-heptose 1,7-bisphosphate phosphatase	59275	Pseudomonas aeruginosa LESB58	218888752	PLES_00051	WP_003120688.1	D,D-heptose 1,7-bisphosphate phosphatase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595205	PA0007	NP_064727.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888753	PLES_00061	WP_003114647.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595206	PA0008	NP_064728.1	glycyl-tRNA synthetase subunit beta	59275	Pseudomonas aeruginosa LESB58	218888754	PLES_00071	WP_003120686.1	glycyl-tRNA synthetase subunit beta				
rbb	57945	Pseudomonas aeruginosa PAO1	15595207	PA0009	NP_064729.1	glycyl-tRNA synthetase subunit alpha	59275	Pseudomonas aeruginosa LESB58	218888755	PLES_00081	WP_003097276.1	glycyl-tRNA synthetase subunit alpha				
rbb	57945	Pseudomonas aeruginosa PAO1	15595208	PA0010	NP_248700.1	DNA-3-methyladenine glycosidase I	59275	Pseudomonas aeruginosa LESB58	218888756	PLES_00091	WP_003097280.1	DNA-3-methyladenine glycosidase I				
rbb	57945	Pseudomonas aeruginosa PAO1	15595209	PA0011	NP_248701.1	lipid A biosynthesis lauroyl acyltransferase	59275	Pseudomonas aeruginosa LESB58	218888757	PLES_00101	WP_003097282.1	lipid A biosynthesis lauroyl acyltransferase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595210	PA0012	NP_248702.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888758	PLES_00111	WP_003114645.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595211	PA0013	NP_248703.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888759	PLES_00121	WP_003097286.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595212	PA0014	NP_248704.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888760	PLES_00131	WP_003107049.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595213	PA0015	NP_248705.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888761	PLES_00141	WP_003107051.1	putative tetratricopeptide repeat domain				
rbb	57945	Pseudomonas aeruginosa PAO1	15595214	PA0016	NP_248706.1	potassium transporter peripheral membrane component	59275	Pseudomonas aeruginosa LESB58	218888762	PLES_00151	WP_003107053.1	potassium transporter peripheral membrane component				
rbb	57945	Pseudomonas aeruginosa PAO1	15595215	PA0017	NP_248707.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888763	PLES_00161	WP_003161949.1	putative tRNA and rRNA cytosine-C5-methylases				
rbb	57945	Pseudomonas aeruginosa PAO1	15595216	PA0018	NP_248708.1	methionyl-tRNA formyltransferase	59275	Pseudomonas aeruginosa LESB58	218888764	PLES_00171	WP_003107057.1	methionyl-tRNA formyltransferase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595217	PA0019	NP_248709.1	peptide deformylase	59275	Pseudomonas aeruginosa LESB58	218888765	PLES_00181	WP_003107059.1	peptide deformylase				
rbb	57945	Pseudomonas aeruginosa PAO1	15595218	PA0020	NP_248710.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888766	PLES_00191	WP_003097294.1	putative lysin domain				
rbb	57945	Pseudomonas aeruginosa PAO1	15595219	PA0021	NP_248711.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888767	PLES_00201	WP_012613419.1	putative Rossmann fold nucleotide-binding protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15595220	PA0022	NP_248712.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218888768	PLES_00211	WP_003097300.1	putative translation factor				
